Y,X,ID,Debrisno,County,Town,Vill,Overflowno,Overflow_X,Overflow_Y,Address,Total_Res,Res_Class,Risk,Dbno_old,TR_num
23.6442247259316,120.856858302929,942,投縣DF234,南投縣,信義鄉,自強村,BD01,235120,2615766,信義鄉自強村陽和巷87、88、95號,3,1~4戶,低,投縣M100-99,3
23.7114547041094,120.871307950779,943,投縣DF185,南投縣,信義鄉,明德村,CD01,237542,2623116,信義鄉明德村中平巷9、13、20-1、24、27、27-3、28、29、29-1、32-5(忠信社區活動中心)、32-6、32-7、51-1、66、66-8號,15,5戶以上,高,南投026、投縣M105-17、南投M108-1,15
23.7070023345337,120.85340510465,944,投縣DF186,南投縣,信義鄉,明德村,CD01,235267,2622613,信義鄉明德村玉山路97-1、97-2、97-3、97-4、97-5、97-6、97-7、98、99、100、101、102、103、105、106、107、108、110、111、111-1、113、113-1、113-2、115、115-1、116、116-1、121-1、121-2號,29,5戶以上,高,南投A120,29
23.708272871692,120.85377043458,945,投縣DF186,南投縣,信義鄉,明德村,CD02,235260,2622746,信義鄉明德村玉山路109、109-1、110、111-1、113、113-1、113-2、115、115-1、116、116-1、117、117-1、117-2、117-3、118、118-1、118-2、121、123、127、127-5、129號,23,5戶以上,高,南投A120,23
23.7016191130477,120.853038962858,946,投縣DF187,南投縣,信義鄉,明德村,CD01,235250,2621932,信義鄉明德村玉山路73、73-1~5、145、145-1~6、78~82、82-1~2、85~88、87-1~8、88-1~9、145-1~3號等，共44戶,44,5戶以上,中,南投A121,44
23.6867538823345,120.867240959277,947,投縣DF188,南投縣,信義鄉,明德村,CD01,236899,2620623,無,0,無,持續觀察,南投027,0
23.6942104638677,120.857628763027,948,投縣DF262,南投縣,信義鄉,明德村,CD01,235650,2621167,信義鄉明德村新開巷10、12、13、14、16、17、17-1、21-2、22、23、24、24-1、25、25-1、27、27-1、31(二戶)、32、33、35號及無門牌一戶,22,5戶以上,高,投縣M105-20,22
23.5607048060226,120.928396097288,949,投縣DF204,南投縣,信義鄉,東埔村,CD01,242967,2606565,信義鄉東埔村開高巷37、37之1、38、38之1、39、39之1、39之2、40、41、41之1、42、45、45之1、46、47、60之2、60之3、73號，共計18戶,18,5戶以上,高,南投034,18
23.5678513912156,120.919019577602,950,投縣DF205,南投縣,信義鄉,東埔村,CD01,242258,2607167,信義鄉東埔村開高巷84、97、101之3、102、103、103之1、104、105之1、109、109之1、109之2、110、114、118、119之8、136之1號、無門牌1戶，共計17戶,17,5戶以上,高,南投033,17
23.5701185392922,120.915468115743,951,投縣DF206,南投縣,信義鄉,東埔村,CD01,241708,2607546,信義鄉東埔村開高巷119之8、125、126、126之1號、129、129之6、132、138號、無門牌3戶，共計11戶,11,5戶以上,高,南投A122,11
23.5758289421317,120.909260406311,952,投縣DF207,南投縣,信義鄉,東埔村,CD01,240947,2608230,信義鄉東埔村開高巷146，147，147-1，147-2,4,1~4戶,中,南投032,4
23.5850745233849,120.899141601554,953,投縣DF208,南投縣,信義鄉,東埔村,CD01,240103,2609090,信義鄉東埔村開高巷139之2、139之6、143、150、150之1、150之2、151、152號，共計8戶,8,5戶以上,高,南投031,8
23.5754918197864,120.877309511241,954,投縣DF194,南投縣,信義鄉,神木村,CD01,237109,2608069,信義鄉神木村民和巷23、31-2、32號，共3戶,3,1~4戶,中,南投040,3
23.5654853076964,120.869190064889,955,投縣DF195,南投縣,信義鄉,神木村,CD01,236475,2606981,信義鄉神木村5鄰民和巷59、59之2、59之6、60、61、61之1、61之2號,7,5戶以上,高,南投039,7
23.5619456671871,120.868483322449,956,投縣DF196,南投縣,信義鄉,神木村,CD01,236234,2606602,信義鄉神木村民和巷13、59-1、59-3、60、61、61-1、61-2、64、64-1、64-2、65、65-1、65-2、65-6(隆華國小)、66-1、66-2、66-3、67、68、68-1、70-1號、神木巷1、1-1、1-2、2、2-1、2-3、3、3-2、3-3、3-5、3-7、4、6-1�,50,5戶以上,高,南投038,50
23.5588210050427,120.867194050925,957,投縣DF197,南投縣,信義鄉,神木村,CD01,236201,2606098,信義鄉神木村6鄰神木巷3-5、3-6、3-7、6-2、13、7鄰神木巷19、19-1、19-3、19-8及無門牌1戶，共10戶,10,5戶以上,高,南投A100,10
23.5557081877275,120.859679500172,958,投縣DF198,南投縣,信義鄉,神木村,CD01,235327,2605880,無,0,無,低,南投037,0
23.527635481842,120.857064894106,959,投縣DF199,南投縣,信義鄉,神木村,CD01,235847,2602549,信義鄉神木村9鄰神木巷52、54號、10鄰神木巷59、62、64、65、68-4、76-1、80號，共9戶,9,5戶以上,高,南投076,9
23.5232120271163,120.862557584345,960,投縣DF199,南投縣,信義鄉,神木村,CD02,236296,2602047,無,0,無,高,南投076,0
23.5446650671708,120.866813181946,961,投縣DF200,南投縣,信義鄉,神木村,CD01,236410,2604255,信義鄉神木村11鄰神木巷77-1號,1,1~4戶,低,南投075,1
